상호,주소,가격,셀프,상표,구
SK에너지(주) 매봉주유소,서울 강남구 언주로 307,1889,Y,SK에너지,강남구
(유)동하석유 힐탑셀프주유소,서울 강남구 논현로 640,1897,Y,SK에너지,강남구
대동석유 압구정주유소,서울 강남구 언주로 842 (신사동),1897,Y,SK에너지,강남구
(주)선진도곡주유소,서울 강남구 도곡로 162 (도곡동),1899,N,S-OIL,강남구
에스제이에너지산업(주) 개포주유소,서울 강남구 양재대로 339,1948,Y,GS칼텍스,강남구
HD현대오일뱅크㈜직영 신사현대주유소,서울 강남구 도산대로 163 (신사동),2038,N,HD현대오일뱅크,강남구
지에스칼텍스㈜ 은마주유소,서울 강남구 영동대로 235,2070,N,GS칼텍스,강남구
HD현대오일뱅크㈜직영 한양주유소,서울 강남구 압구정로 302 (신사동),2128,N,HD현대오일뱅크,강남구
지에스칼텍스(주)학여울주유소,서울 강남구 남부순환로 3170 (일원2동),2138,N,GS칼텍스,강남구
대성석유(주)동호주유소,서울 강남구 봉은사로113길 51,2159,N,GS칼텍스,강남구
지에스칼텍스㈜ 삼성로주유소,서울 강남구 삼성로 563 (삼성동),2170,Y,GS칼텍스,강남구
대청주유소,서울 강남구 개포로 654 (일원동),2276,N,SK에너지,강남구
명품주유소,서울 강남구 도곡로 249 (역삼동),2278,Y,S-OIL,강남구
(주)소모 쎈트럴주유소,서울 강남구 삼성로 335,2287,N,GS칼텍스,강남구
갤러리아주유소,서울 강남구 압구정로 426,2330,N,SK에너지,강남구
㈜새서울석유 새서울주유소,서울 강남구 압구정로 154,2348,N,HD현대오일뱅크,강남구
