제목,저자,역자,출간일,페이지수,가격
"IT CookBook, 텐서플로로 배우는 딥러닝","박혜정, 석경하, 심주용, 황창하", ,2019-06-30,448,27000
"IT CookBook, 파워포인트 2016",김지연, ,2019-06-29,420,19000
"SWedu, 스크래치 3.0 : 컴퓨팅 사고력을 키우는 블록 코딩",고광일, ,2019-06-10,392,22000
"IT CookBook, design school 포토샵 & 일러스트레이터 CC 2019",이영주, ,2019-06-06,616,23000
"IT CookBook, PHP 프로그래밍 입문(3판)",황재호, ,2019-05-20,456,25000
칼만 필터는 어렵지 않아 with MATLAB Examples,김성필, ,2019-05-20,256,26000
"IT CookBook, R로 배우는 데이터 과학","양윤석, 오일석, 강래형", ,2019-05-08,440,27000
"IT CookBook, design school 포토샵 CC 2019",이영주, ,2019-04-19,540,22000
마켓 4.0시대의 마케팅원론,"신건철, 김종락, 박지형, 김시영", ,2019-03-10,530,34000
경영학원론(제5판),이기호, ,2019-03-05,351,24000
마켓 4.0시대의 온라인 커머스전략,김종락, ,2019-03-05,382,26000
세계화 4.0 시대의 무역개론(제6판),이장로, ,2019-03-05,468,29000
제대로 알고 쓰는 논문 통계분석 : SPSS & AMOS (개정증보판),노경섭, ,2019-02-28,460,28000
이산수학 : tool 중심으로 이해하는 새로운 시각,박두순, ,2019-01-31,484,24000
"IT CookBook, 따라 하면서 배우는 마이크로컨트롤러",허경용, ,2019-01-28,528,28000
스트랭 미분적분학,Gilbert Strang,한빛수학교재연구소,2019-01-02,872,34000
"IT CookBook, 데이터 과학을 위한 파이썬 프로그래밍",최성철, ,2019-01-01,536,25000
"IT CookBook, 데이터베이스 for Beginner",우재남, ,2019-01-01,520,24000
한번에 통과하는 논문 : AMOS 구조방정식 활용과 SPSS 고급 분석,히든그레이스 논문통계팀, ,2018-12-24,536,28000
공학도라면 반드시 알아야 할 최소한의 과학,John Bird,권기영,2018-12-21,456,24000
"IT CookBook, 전공자를 위한 C 언어 프로그래밍",주우석, ,2018-12-14,668,29000
"IT CookBook, design school 프리미어 프로 CC",강재신, ,2018-12-07,532,25000
"IT CookBook, design school 일러스트레이터 CC",이영주, ,2018-11-30,428,23000
"IT CookBook, 모바일 & 데스크톱을 위한 웹 기획 프로세스",강은정, ,2018-11-25,424,24000
